Federal State,n,%,BÄK,Delta
Nordrhein-Westfalen,57,"17,81%","21,20%","3,39%"
Bayern,55,"17,19%","16,70%","-0,49%"
Baden-Württemberg,50,"15,63%","13,20%","-2,43%"
Niedersachsen,28,"8,75%","8,00%","-0,75%"
Sachsen,22,"6,88%","4,80%","-2,08%"
Rheinland-Pfalz,20,"6,25%","4,20%","-2,05%"
Berlin,19,"5,94%","6,90%","0,96%"
Hessen,17,"5,31%","6,20%","0,89%"
Schleswig-Holstein,13,"4,06%","3,50%","-0,56%"
Brandenburg,12,"3,75%","2,70%","-1,05%"
Hamburg,9,"2,81%","3,40%","0,59%"
Mecklenburg-Vorpommern,5,"1,56%","2,10%","0,54%"
Sachen-Anhalt,5,"1,56%","2,40%","0,84%"
Thüringen,5,"1,56%","2,40%","0,84%"
Saarland,2,"0,63%","1,20%","0,58%"
Bremen,1,"0,31%","1,00%","0,69%"
Gesamt,320,"100,00%","100,00%",
