Model,Predictor,Coef,SE,z,p,OR,OR 2.5%,OR 97.5%,N,LLR chi2,LLR df,LLR p,Pseudo R2 (McFadden),AIC,BIC,Hosmer-Lemeshow chi2,Hosmer-Lemeshow p
Own use (primary),(Intercept),-0.27932158051451683,0.3737190829760539,-0.7474105370541498,0.45481578685026325,0.7562966538379452,0.36356487546268934,1.573267021129417,320,27.74640574565592,6,0.00010487751258379448,0.07128287375386066,375.4972412131369,401.8754881836933,8.651216581380195,0.3725674351723194
Own use (primary),AI provision by employer,0.4262677537117587,0.2858370876877883,1.4912961685971233,0.1358837544185159,1.5315307932934326,0.8746227367480189,2.6818266576595766,320,27.74640574565592,6,0.00010487751258379448,0.07128287375386066,375.4972412131369,401.8754881836933,8.651216581380195,0.3725674351723194
Own use (primary),Guidelines on AI use,-0.249921084177385,0.5086543121775301,-0.4913377871652797,0.623187558025284,0.7788622452009895,0.2874043365282217,2.1107071811352385,320,27.74640574565592,6,0.00010487751258379448,0.07128287375386066,375.4972412131369,401.8754881836933,8.651216581380195,0.3725674351723194
Own use (primary),AI-specific training,0.3860667999676814,0.35633514263551425,1.0834373424755888,0.27861434819456543,1.4711829425054466,0.7317347119896085,2.9578742334554176,320,27.74640574565592,6,0.00010487751258379448,0.07128287375386066,375.4972412131369,401.8754881836933,8.651216581380195,0.3725674351723194
Own use (primary),Male,0.5621409732344747,0.26940881841839787,2.0865722827285382,0.03692681494103454,1.7544246584634184,1.0346977882153887,2.97478734107794,320,27.74640574565592,6,0.00010487751258379448,0.07128287375386066,375.4972412131369,401.8754881836933,8.651216581380195,0.3725674351723194
Own use (primary),Age (ordinal),-0.4939588599295677,0.11768201336534383,-4.197403203802032,2.699929942891591e-05,0.6102058864874468,0.48451282968020876,0.7685064276826116,320,27.74640574565592,6,0.00010487751258379448,0.07128287375386066,375.4972412131369,401.8754881836933,8.651216581380195,0.3725674351723194
Own use (primary),Hospital or medical care centre,-0.004890869542541739,0.29089018468228234,-0.016813456761642444,0.986585434471597,0.9951210712849579,0.5626907141575052,1.759876112400413,320,27.74640574565592,6,0.00010487751258379448,0.07128287375386066,375.4972412131369,401.8754881836933,8.651216581380195,0.3725674351723194
Exposure (secondary),(Intercept),0.6941931741036298,0.34634614637282485,2.004333472087674,0.045034350603705475,2.002093081571437,1.0154858836228196,3.9472500523355754,320,56.1779033881744,6,2.679553101925871e-10,0.1266404163035687,401.42379208881135,427.80203905936776,11.420649185855236,0.17898440782710623
Exposure (secondary),AI provision by employer,0.6060670272146669,0.2857861591590088,2.1207011179203286,0.03394696239406842,1.8332072476838828,1.0470078693805966,3.2097646170977256,320,56.1779033881744,6,2.679553101925871e-10,0.1266404163035687,401.42379208881135,427.80203905936776,11.420649185855236,0.17898440782710623
Exposure (secondary),Guidelines on AI use,-0.8870468424440014,0.4963790317018117,-1.7870352810891386,0.07393178644039783,0.41187027634859896,0.15568323713211205,1.089629992698045,320,56.1779033881744,6,2.679553101925871e-10,0.1266404163035687,401.42379208881135,427.80203905936776,11.420649185855236,0.17898440782710623
Exposure (secondary),AI-specific training,0.3226571660588786,0.3579421669166023,0.9014226204146973,0.3673636587894412,1.3807918874259573,0.6846164054307803,2.7848970916518705,320,56.1779033881744,6,2.679553101925871e-10,0.1266404163035687,401.42379208881135,427.80203905936776,11.420649185855236,0.17898440782710623
Exposure (secondary),Male,0.10200441443635472,0.256340520925033,0.3979254394438326,0.6906851472568469,1.1073883602125796,0.6700427421655548,1.830195154970141,320,56.1779033881744,6,2.679553101925871e-10,0.1266404163035687,401.42379208881135,427.80203905936776,11.420649185855236,0.17898440782710623
Exposure (secondary),Age (ordinal),-0.5272096640593373,0.10722024624421603,-4.917071938619778,8.784827555537711e-07,0.5902496688445669,0.47837636343037215,0.7282857143543419,320,56.1779033881744,6,2.679553101925871e-10,0.1266404163035687,401.42379208881135,427.80203905936776,11.420649185855236,0.17898440782710623
Exposure (secondary),Hospital or medical care centre,0.5661293904095763,0.2637989709141496,2.1460636804144952,0.031867898451303715,1.761436008704114,1.0503179294173637,2.954016803731607,320,56.1779033881744,6,2.679553101925871e-10,0.1266404163035687,401.42379208881135,427.80203905936776,11.420649185855236,0.17898440782710623
